seed,round,station,method,episode,epsilon,reward
11,9,campus,pooled_q,32,0.3443737680000001,-53.41223927511885
11,9,campus,federated_q,33,0.3443737680000001,-31.964024155030085
11,9,campus,local_q,33,0.3443737680000001,-31.496739123753226
11,9,campus,pooled_q,33,0.3443737680000001,-30.85697422233971
11,9,campus,federated_q,34,0.3443737680000001,-14.525217362001948
11,9,campus,local_q,34,0.3443737680000001,-16.740605963132904
11,9,campus,pooled_q,34,0.3443737680000001,-15.55477283845629
11,9,campus,federated_q,35,0.3443737680000001,-14.71563281100982
11,9,campus,local_q,35,0.3443737680000001,-28.158958420073162
11,9,campus,pooled_q,35,0.3443737680000001,-9.06694296064006
11,9,commuter,federated_q,32,0.3443737680000001,-106.68026635154376
11,9,commuter,local_q,32,0.3443737680000001,-119.8980291081792
11,9,commuter,pooled_q,32,0.3443737680000001,-93.90776635154376
11,9,commuter,federated_q,33,0.3443737680000001,-90.12404792524086
11,9,commuter,local_q,33,0.3443737680000001,-91.85654792524087
11,9,commuter,pooled_q,33,0.3443737680000001,-80.85728776919558
11,9,commuter,federated_q,34,0.3443737680000001,-94.1933439569829
11,9,commuter,local_q,34,0.3443737680000001,-100.34778511003974
11,9,commuter,pooled_q,34,0.3443737680000001,-97.61642163901168
11,9,commuter,federated_q,35,0.3443737680000001,-110.91203713929049
11,9,commuter,local_q,35,0.3443737680000001,-98.13968510755161
11,9,commuter,pooled_q,35,0.3443737680000001,-121.06550577516224
11,9,mixed_use,federated_q,32,0.3443737680000001,-106.64094733887873
11,9,mixed_use,local_q,32,0.3443737680000001,-128.28951574741157
11,9,mixed_use,pooled_q,32,0.3443737680000001,-106.35320903544415
11,9,mixed_use,federated_q,33,0.3443737680000001,-88.39266461596853
11,9,mixed_use,local_q,33,0.3443737680000001,-96.63014566833843
11,9,mixed_use,pooled_q,33,0.3443737680000001,-83.63686706956413
11,9,mixed_use,federated_q,34,0.3443737680000001,-82.1211704946331
11,9,mixed_use,local_q,34,0.3443737680000001,-75.50146516915903
11,9,mixed_use,pooled_q,34,0.3443737680000001,-90.28111061088467
11,9,mixed_use,federated_q,35,0.3443737680000001,-125.42392197072321
11,9,mixed_use,local_q,35,0.3443737680000001,-120.21553918677432
11,9,mixed_use,pooled_q,35,0.3443737680000001,-116.9549024912914
11,10,campus,federated_q,36,0.3099363912000001,-14.966102954100126
11,10,campus,local_q,36,0.3099363912000001,-21.869577074652785
11,10,campus,pooled_q,36,0.3099363912000001,-18.97231642663951
11,10,campus,federated_q,37,0.3099363912000001,-2.3750032729974633
11,10,campus,local_q,37,0.3099363912000001,-7.731668359291842
11,10,campus,pooled_q,37,0.3099363912000001,-17.295604633250925
11,10,campus,federated_q,38,0.3099363912000001,-5.363183131970412
11,10,campus,local_q,38,0.3099363912000001,-18.850990790023243
11,10,campus,pooled_q,38,0.3099363912000001,-23.308135043452733
11,10,campus,federated_q,39,0.3099363912000001,-13.499797277752903
11,10,campus,local_q,39,0.3099363912000001,-26.514658471252602
11,10,campus,pooled_q,39,0.3099363912000001,-14.87696347799185
11,10,commuter,federated_q,36,0.3099363912000001,-92.43556448251543
11,10,commuter,local_q,36,0.3099363912000001,-112.72593321984743
11,10,commuter,pooled_q,36,0.3099363912000001,-89.24213836454183
11,10,commuter,federated_q,37,0.3099363912000001,-112.83396930548165
11,10,commuter,local_q,37,0.3099363912000001,-132.4014691621631
11,10,commuter,pooled_q,37,0.3099363912000001,-110.50419088052574
11,10,commuter,federated_q,38,0.3099363912000001,-93.21371008722919
11,10,commuter,local_q,38,0.3099363912000001,-98.18834008992522
