method,slot,delivered_kwh,solar_kwh,grid_kwh,cost_usd,missed_kwh,reward,action
shortest_remaining,25,0.3896564362550785,0.014656436255078531,0.375,0.037500000000000006,0,0.35215643625507853,shortest_remaining
shortest_remaining,26,0.35,0.029250111400015787,0.3207498885999842,0.032074988859998425,0,0.31792501114000155,shortest_remaining
shortest_remaining,27,0.4187185330773794,0.04371853307737938,0.375,0.037500000000000006,0,0.3812185330773794,shortest_remaining
shortest_remaining,28,0.43299974528431434,0.057999745284314334,0.375,0.0675,0,0.36549974528431434,shortest_remaining
shortest_remaining,29,0.44703259367765896,0.07203259367765896,0.375,0.0675,0,0.37953259367765896,shortest_remaining
shortest_remaining,30,0.4607569874462309,0.08575698744623089,0.375,0.0675,0,0.3932569874462309,shortest_remaining
shortest_remaining,31,0.4741141566289058,0.09911415662890583,0.375,0.0675,0.0,0.4066141566289058,shortest_remaining
shortest_remaining,32,0.48704690377661364,0.11204690377661361,0.375,0.0675,0.0,0.41954690377661363,shortest_remaining
shortest_remaining,33,0.4724814562966557,0.12449984888059637,0.3479816074160593,0.06263668933489068,0.0,0.40984476696176503,shortest_remaining
shortest_remaining,34,0.5114196665181079,0.13641966651810788,0.375,0.0675,0,0.4439196665181079,shortest_remaining
shortest_remaining,35,0.48434682075372637,0.1477553142000606,0.33659150655366576,0.06058647117965984,0,0.42376034957406655,shortest_remaining
shortest_remaining,36,0.525,0.15845825094280014,0.3665417490571999,0.06597751483029597,0.27010814177389564,-0.6214100819258785,shortest_remaining
shortest_remaining,37,0.44380055798698625,0.1684826451280494,0.27531791285893686,0.049557224314608635,0.0,0.3942433336723776,shortest_remaining
shortest_remaining,38,0.525,0.1777855707609341,0.3472144292390659,0.06249859726303186,0,0.46250140273696816,shortest_remaining
shortest_remaining,39,0.51234515692143,0.18632719128568304,0.326017965635747,0.05868323381443445,0,0.45366192310699555,shortest_remaining
shortest_remaining,40,0.525,0.1940709301718759,0.3309290698281241,0.05956723256906234,0,0.4654327674309377,shortest_remaining
shortest_remaining,41,0.47191291182353534,0.2009836275407616,0.27092928428277374,0.048767271170899275,0,0.42314564065263605,shortest_remaining
shortest_remaining,42,0.4039707634142494,0.2070356821609499,0.19693508125329953,0.03544831462559391,0.0,0.36852244878865553,shortest_remaining
shortest_remaining,43,0.39187324153793424,0.21220117820542875,0.1796720633325055,0.03234097139985099,0.9309492528040784,-3.3642647410782303,shortest_remaining
shortest_remaining,44,0.525,0.21645799622711454,0.3085420037728855,0.055537560679119385,1.0143256732049126,-3.58784025349877,shortest_remaining
shortest_remaining,45,0.525,0.21978790787771957,0.30521209212228045,0.05493817658201048,0,0.4700618234179895,shortest_remaining
shortest_remaining,46,0.4599444098052201,0.22217665396433872,0.2377677558408814,0.04279819605135865,0,0.41714621375386146,shortest_remaining
shortest_remaining,47,0.4640370835550701,0.2236140055095022,0.24042307804556792,0.043276154048202224,0.0,0.4207609295068679,shortest_remaining
shortest_remaining,48,0.43792938657433766,0.22409380755322728,0.2138355790211104,0.038490404223799866,0.0,0.3994389823505378,shortest_remaining
shortest_remaining,49,0.525,0.2236140055095022,0.30138599449049785,0.054249479008289615,0.0,0.4707505209917104,shortest_remaining
shortest_remaining,50,0.48990036617427934,0.22217665396433872,0.2677237122099406,0.04819026819778931,0.0,0.44171009797649,shortest_remaining
shortest_remaining,51,0.513878101601701,0.21978790787771957,0.29409019372398143,0.05293623487031666,0.9662876564384042,-3.4042087590222323,shortest_remaining
shortest_remaining,52,0.494364405042946,0.21645799622711454,0.27790640881583145,0.05002315358684966,1.020881195397325,-3.639183530133203,shortest_remaining
shortest_remaining,53,0.44200417109956536,0.21220117820542878,0.22980299289413658,0.04136453872094458,0.5611328867936587,-1.843891914796014,shortest_remaining
shortest_remaining,54,0.525,0.2070356821609499,0.3179643178390501,0.057233577211029014,0,0.467766422788971,shortest_remaining
shortest_remaining,55,0.525,0.2009836275407616,0.3240163724592384,0.058322947042662915,1.630493570540152,-6.055297229203271,shortest_remaining
shortest_remaining,56,0.49289850662164814,0.19407093017187596,0.2988275764497722,0.05378896376095899,0.0,0.43910954286068915,shortest_remaining
shortest_remaining,57,0.525,0.18632719128568304,0.338672808714317,0.060961105568577055,0,0.464038894431423,shortest_remaining
shortest_remaining,58,0.525,0.1777855707609341,0.3472144292390659,0.06249859726303186,0,0.46250140273696816,shortest_remaining
shortest_remaining,59,0.4987469800550628,0.1684826451280494,0.3302643349270134,0.05944758028686241,0.10476377912536666,0.02024428326673372,shortest_remaining
shortest_remaining,60,0.4375,0.15845825094280017,0.2790417490571998,0.050227514830295965,0.0,0.38727248516970403,shortest_remaining
shortest_remaining,61,0.4220755095551584,0.1477553142000606,0.2743201953550978,0.0493776351639176,0.0,0.3726978743912408,shortest_remaining
shortest_remaining,62,0.35,0.1364196665181079,0.21358033348189207,0.03844446002674057,0.21105655376382174,-0.5326706750820276,shortest_remaining
shortest_remaining,63,0.26249999999999996,0.12449984888059643,0.13800015111940353,0.024840027201492636,0.12295628647100659,-0.25416517308551906,shortest_remaining
shortest_remaining,64,0.175,0.11204690377661361,0.06295309622338638,0.023922176564886825,0.5710139961790329,-2.1329781612810184,shortest_remaining
shortest_remaining,65,0.175,0.09911415662890592,0.07588584337109407,0.028836620481015745,0.0,0.14616337951898425,shortest_remaining
shortest_remaining,66,0.175,0.08575698744623092,0.08924301255376907,0.03391234477043225,0,0.14108765522956773,shortest_remaining
shortest_remaining,67,0.175,0.072032593677659,0.10296740632234098,0.039127614402489574,0.03989307924226801,-0.023699931371561622,shortest_remaining
shortest_remaining,68,0.0875,0.0579997452843144,0.029500254715685598,0.011210096791960528,0.0,0.07628990320803947,shortest_remaining
shortest_remaining,69,0.0875,0.04371853307737936,0.04378146692262064,0.01663695743059584,0,0.07086304256940415,shortest_remaining
shortest_remaining,70,0.0875,0.02925011140001588,0.05824988859998412,0.022134957667993966,0,0.06536504233200603,shortest_remaining
shortest_remaining,71,0.0875,0.014656436255078545,0.07284356374492144,0.02768055422307015,0,0.059819445776929846,shortest_remaining
shortest_remaining,72,0.009117814879579939,2.7443576412880273e-17,0.00911781487957991,0.0034647696542403662,0.0,0.005653045225339572,shortest_remaining
shortest_remaining,73,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,74,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,75,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,76,0.0,0.0,0.0,0.0,0.0,0.0,shortest_remaining
shortest_remaining,77,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,78,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,79,0.0,0.0,0.0,0.0,0.0,0.0,shortest_remaining
shortest_remaining,80,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,81,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,82,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,83,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,84,0.0,0.0,0.0,0.0,0.0,0.0,shortest_remaining
shortest_remaining,85,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,86,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,87,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,88,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,89,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,90,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,91,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,92,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,93,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,94,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
shortest_remaining,95,0.0,0.0,0.0,0.0,0,0.0,shortest_remaining
solar_only,0,0.0,0.0,0.0,0.0,0,0.0,solar_only
solar_only,1,0.0,0.0,0.0,0.0,0,0.0,solar_only
solar_only,2,0.0,0.0,0.0,0.0,0,0.0,solar_only
solar_only,3,0.0,0.0,0.0,0.0,0,0.0,solar_only
solar_only,4,0.0,0.0,0.0,0.0,0,0.0,solar_only
